weather_description,total_activity,occurrence_count
Clear sky,22.373881932021465,559
Partly cloudy,22.07766990291262,103
Mainly clear,20.825242718446603,206
Overcast,18.0546875,384
Drizzle,17.089430894308943,123
Rain,13.463414634146341,41
Showers,5.615384615384615,13
Heavy showers,5.0,9
Heavy rain,4.9,10
