hour,mean,count,sum
0,30.5,12,366.0
1,1.0,3,3.0
2,5.67,3,17.0
3,24.17,18,435.0
4,11.77,26,306.0
5,20.82,40,833.0
6,30.68,56,1718.0
7,13.55,98,1328.0
8,13.19,89,1174.0
9,24.9,73,1818.0
10,15.54,83,1290.0
11,26.55,85,2257.0
12,19.41,78,1514.0
13,16.26,84,1366.0
14,13.89,84,1167.0
15,15.99,77,1231.0
16,14.84,58,861.0
17,18.15,75,1361.0
18,13.15,78,1026.0
19,28.44,89,2531.0
20,19.73,75,1480.0
21,22.89,75,1717.0
22,35.64,58,2067.0
23,30.03,32,961.0
