timestamp,share_history_count,login_history_count,browsing_history_count,like_list_count,favorite_sounds_count,favorite_videos_count,temperature,precipitation,weather_code,weather_description,hour,day_of_week,is_weekend,total_activity
2023-04-18 15:00:00,0.0,0.0,0.0,0.0,0.0,3.0,15.6,0.0,3,Overcast,15,Tuesday,False,3.0
2023-04-19 05:00:00,0.0,0.0,0.0,0.0,0.0,1.0,10.1,0.2,51,Drizzle,5,Wednesday,False,1.0
2023-04-19 06:00:00,0.0,0.0,0.0,0.0,0.0,2.0,10.1,0.0,3,Overcast,6,Wednesday,False,2.0
2023-04-19 11:00:00,0.0,0.0,0.0,0.0,2.0,2.0,13.9,0.0,3,Overcast,11,Wednesday,False,4.0
2023-04-19 12:00:00,0.0,0.0,0.0,0.0,2.0,1.0,14.7,0.0,1,Mainly clear,12,Wednesday,False,3.0
2023-04-19 18:00:00,0.0,0.0,0.0,0.0,0.0,4.0,14.3,0.1,51,Drizzle,18,Wednesday,False,4.0
2023-04-19 21:00:00,0.0,0.0,0.0,0.0,0.0,1.0,10.9,0.0,3,Overcast,21,Wednesday,False,1.0
2023-04-20 11:00:00,0.0,0.0,0.0,0.0,3.0,8.0,13.6,0.0,1,Mainly clear,11,Thursday,False,11.0
2023-04-20 16:00:00,0.0,0.0,0.0,0.0,1.0,2.0,15.3,0.0,3,Overcast,16,Thursday,False,3.0
2023-04-20 18:00:00,0.0,0.0,0.0,0.0,2.0,1.0,14.7,0.0,2,Partly cloudy,18,Thursday,False,3.0
2023-04-20 21:00:00,0.0,0.0,0.0,0.0,0.0,1.0,11.7,0.0,3,Overcast,21,Thursday,False,1.0
2023-04-22 16:00:00,0.0,0.0,0.0,0.0,1.0,2.0,17.5,0.0,0,Clear sky,16,Saturday,True,3.0
2023-04-22 17:00:00,0.0,0.0,0.0,0.0,0.0,2.0,16.9,0.0,2,Partly cloudy,17,Saturday,True,2.0
2023-04-22 18:00:00,0.0,0.0,0.0,0.0,0.0,3.0,15.9,0.0,3,Overcast,18,Saturday,True,3.0
2023-04-22 23:00:00,0.0,0.0,0.0,0.0,0.0,1.0,10.8,0.0,3,Overcast,23,Saturday,True,1.0
2023-04-24 05:00:00,0.0,0.0,0.0,0.0,0.0,1.0,8.8,0.0,3,Overcast,5,Monday,False,1.0
2023-04-24 14:00:00,0.0,0.0,0.0,0.0,0.0,2.0,16.1,0.0,0,Clear sky,14,Monday,False,2.0
2023-04-24 15:00:00,0.0,0.0,0.0,0.0,1.0,0.0,15.9,0.0,1,Mainly clear,15,Monday,False,1.0
2023-04-25 12:00:00,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,3,Overcast,12,Tuesday,False,3.0
2023-04-25 13:00:00,0.0,0.0,0.0,0.0,0.0,1.0,18.3,0.0,1,Mainly clear,13,Tuesday,False,1.0
2023-04-25 14:00:00,0.0,0.0,0.0,0.0,2.0,2.0,19.1,0.0,1,Mainly clear,14,Tuesday,False,4.0
2023-04-25 17:00:00,0.0,0.0,0.0,0.0,1.0,0.0,19.4,0.0,0,Clear sky,17,Tuesday,False,1.0
2023-04-25 22:00:00,0.0,0.0,0.0,0.0,0.0,1.0,14.5,0.0,3,Overcast,22,Tuesday,False,1.0
2023-04-27 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,11.6,1.3,61,Showers,7,Thursday,False,1.0
2023-04-27 08:00:00,0.0,0.0,0.0,0.0,0.0,1.0,11.6,1.7,61,Showers,8,Thursday,False,1.0
2023-04-27 13:00:00,0.0,0.0,0.0,0.0,0.0,1.0,10.9,1.5,61,Showers,13,Thursday,False,1.0
2023-04-28 15:00:00,0.0,0.0,0.0,0.0,0.0,3.0,13.1,0.0,0,Clear sky,15,Friday,False,3.0
2023-04-29 07:00:00,0.0,0.0,0.0,0.0,0.0,3.0,9.1,0.0,3,Overcast,7,Saturday,True,3.0
2023-04-29 08:00:00,0.0,0.0,0.0,0.0,0.0,5.0,10.8,0.0,1,Mainly clear,8,Saturday,True,5.0
2023-04-29 09:00:00,0.0,0.0,0.0,0.0,0.0,1.0,12.2,0.0,3,Overcast,9,Saturday,True,1.0
2023-04-30 14:00:00,0.0,0.0,0.0,0.0,1.0,1.0,15.5,0.0,1,Mainly clear,14,Sunday,True,2.0
2023-04-30 20:00:00,0.0,0.0,0.0,0.0,0.0,1.0,11.9,0.0,2,Partly cloudy,20,Sunday,True,1.0
2023-05-01 15:00:00,0.0,0.0,0.0,0.0,0.0,1.0,16.5,0.0,1,Mainly clear,15,Monday,False,1.0
2023-05-01 19:00:00,0.0,0.0,0.0,0.0,0.0,1.0,15.9,0.0,0,Clear sky,19,Monday,False,1.0
2023-05-02 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0,Clear sky,7,Tuesday,False,1.0
2023-05-02 10:00:00,0.0,0.0,0.0,0.0,0.0,4.0,17.7,0.0,0,Clear sky,10,Tuesday,False,4.0
2023-05-02 21:00:00,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,3,Overcast,21,Tuesday,False,2.0
2023-05-03 10:00:00,0.0,0.0,0.0,0.0,0.0,2.0,17.4,0.0,3,Overcast,10,Wednesday,False,2.0
2023-05-06 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,11.6,2.3,61,Showers,7,Saturday,True,1.0
2023-05-08 17:00:00,0.0,0.0,0.0,0.0,1.0,6.0,16.8,0.0,3,Overcast,17,Monday,False,7.0
2023-05-08 18:00:00,0.0,0.0,0.0,0.0,2.0,4.0,15.5,0.0,3,Overcast,18,Monday,False,6.0
2023-05-09 06:00:00,0.0,0.0,0.0,0.0,0.0,1.0,11.6,0.0,3,Overcast,6,Tuesday,False,1.0
2023-05-10 07:00:00,0.0,0.0,0.0,0.0,1.0,0.0,11.3,0.0,3,Overcast,7,Wednesday,False,1.0
2023-05-10 08:00:00,0.0,0.0,0.0,0.0,0.0,1.0,11.7,0.0,3,Overcast,8,Wednesday,False,1.0
2023-05-10 20:00:00,0.0,0.0,0.0,0.0,1.0,0.0,11.9,0.0,3,Overcast,20,Wednesday,False,1.0
2023-05-12 05:00:00,0.0,0.0,0.0,0.0,0.0,3.0,11.9,0.0,3,Overcast,5,Friday,False,3.0
2023-05-12 10:00:00,0.0,0.0,0.0,0.0,0.0,1.0,13.3,0.0,3,Overcast,10,Friday,False,1.0
2023-05-12 12:00:00,0.0,0.0,0.0,0.0,0.0,3.0,13.6,0.1,51,Drizzle,12,Friday,False,3.0
2023-05-12 16:00:00,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,3,Overcast,16,Friday,False,3.0
2023-05-12 23:00:00,0.0,0.0,0.0,0.0,0.0,1.0,10.7,0.0,0,Clear sky,23,Friday,False,1.0
2023-05-13 08:00:00,0.0,0.0,0.0,0.0,0.0,2.0,12.9,0.0,0,Clear sky,8,Saturday,True,2.0
2023-05-13 17:00:00,0.0,0.0,0.0,0.0,0.0,2.0,16.8,0.0,0,Clear sky,17,Saturday,True,2.0
2023-05-13 20:00:00,0.0,0.0,0.0,0.0,0.0,3.0,12.8,0.0,0,Clear sky,20,Saturday,True,3.0
2023-05-14 09:00:00,0.0,0.0,0.0,0.0,1.0,0.0,14.7,0.0,0,Clear sky,9,Sunday,True,1.0
2023-05-14 17:00:00,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,3,Overcast,17,Sunday,True,2.0
